"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
85,311.1653,2.440895,"C20H24O3","Methyl (9Z)-10'-oxo-6,10'-diapo-6-carotenoate",2.08161838345664,NA,36800.4035771866,49604.8334798448,100705.942889055,482540.551685,490160.234758879,517557.270257162
86,216.9284,13.96867,NA,NA,2.73648228390803,NA,8926950.27446866,12641635.112321,18466421.5252279,240425.80519678,138889.621494904,131081.924561921
87,295.2474,2.568072,NA,NA,3.93438294427313,NA,1088089.06214888,972215.879357707,1050444.18888306,15747510.4265176,15207072.4278116,14969371.6173402
88,143.0349,11.6424,"C6H8O4","3-Hexenedioic acid",3.42207182713068,NA,8641252.78420003,8563880.19110142,8947042.54922924,15700887.3676564,15872529.4843284,15232387.5969746
89,240.0595,2.502056,NA,NA,0,NA,11338952.106551,14224507.019479,17407429.72804,316433.5047422,1631299.50923716,5071632.43885191
91,224.9851,1.928389,NA,NA,2.02552054664987,NA,13880312.5140931,13445080.4547597,13872781.4635235,14420880.2829593,14214095.4312598,14418931.8997306
92,314.9057,13.98666,NA,NA,2.66746055310989,NA,7264760.16274328,11261661.3020023,16944079.2681279,22678.9800454843,6361.54957473532,5667.78220436893
93,174.0883,13.47184,"C6H13N3O3","Citrulline",3.6538818427932,NA,69353.6711472815,53894.1914986949,44453.0143670462,14324724.9931925,13517054.2782679,13260702.0179788
94,131.0825,13.45592,"C5H12N2O2","Ornithine",3.42207182713068,NA,66852.7834501616,36755.1208396723,53425.1500803503,14600714.8066437,13106108.8941832,13266677.4420703
95,242.0518,11.55124,NA,NA,1.72001383911843,NA,14148387.8098047,13671119.2712714,13522410.0719932,13110312.5843933,13642373.3999896,13689482.490365
96,196.8948,13.96938,NA,NA,2.37920831181018,NA,16030935.7045352,13837127.8154725,15157387.9286978,172354.422370977,32303.4196261936,42365.8638599412
97,354.2653,2.566469,NA,NA,2.92738252345476,NA,5177940.10344968,5002104.41088417,5911365.78069899,13986269.0560748,13313112.3731869,13497149.7439167
98,609.0598,1.843897,NA,NA,0,NA,13735042.2306686,13394464.2984735,13857103.7757958,12482427.4128064,12974373.1830258,13955836.5326433
99,198.0595,2.516128,"C9H13NO2S","2-(4-Methyl-5-thiazolyl)ethyl propionate",1.68291911392681,NA,12499540.3740581,12947199.3127212,13045409.4981018,13619665.6871445,13532929.4682893,12819999.8932929
100,173.1043,16.59112,"C6H14N4O2","L-Arginine",4.79740271430757,NA,41223.6404529332,43576.6760051893,40844.6975896662,13550265.2419166,13203570.6276233,13732526.9541378
101,688.4844,2.650828,NA,NA,1.62900606648526,NA,1293.32158678392,2119.56543781134,1377.1989996909,4901.03922086802,10410.153411194,16814.1329601785
102,450.9219,13.45242,NA,NA,4.21005987460824,NA,14540941.1806223,14579409.1904006,15750403.3917747,162911.726828539,193180.912904728,173428.898685442
103,299.2594,2.428386,"C18H36O3","(R)-3-Hydroxy-Octadecanoic acid",3.16343537961183,NA,3895987.638938,3554799.10887317,4214771.84131469,12177221.881415,13202778.3353302,12066892.0865881
104,180.0594,11.65355,NA,NA,3.42660616507748,NA,6587808.12674001,6659412.29965498,6876495.31685888,12350083.930462,12408842.7693056,13023670.3743774
105,871.2252,2.270353,NA,NA,1.61441159897034,NA,13720678.1058111,13887555.0225587,14144686.8589492,10969963.1743641,11135717.0867382,10245536.1101016
106,225.0622,2.637353,"C8H10N4O4","5-Acetylamino-6-formylamino-3-methyluracil",0,NA,8175665.8185516,10234186.6733673,13789074.798659,328179.501482224,1931203.66123315,6112014.11133167
107,158.9888,13.44053,NA,NA,4.29179162469551,NA,13955369.1940954,14155073.745803,14381724.6336828,2567919.48673957,2801055.50101818,2673607.1633041
108,319.1036,2.563298,NA,NA,3.74275353509263,NA,13755911.4879328,12628708.7641082,13935758.1257459,147205.91771408,201357.271555866,188678.297750352
109,171.139,4.001361,"C10H20O2","Capric acid",3.26921772433361,NA,5247092.63282098,5617950.98435543,5421243.5915596,11381949.6271858,11064635.7522431,10736289.7105242
110,196.9232,13.73336,NA,NA,3.46992843116262,NA,2488638.01546942,2164833.22027132,2411784.57035813,12378460.2807305,11754301.7399385,11915453.0405181
111,680.1921,2.306181,NA,NA,0,NA,9483696.04904973,10893353.7410726,11912062.2504962,9352098.20201536,9847567.19476051,8969523.223217
112,339.1962,2.489536,"C22H28O3","Canrenone",2.99293534362167,NA,32331.7958794764,30416.7198932517,32758.4786488182,166357.044973233,184728.81697281,136127.16781516
113,412.8827,13.93935,NA,NA,3.09604229147683,NA,5591478.30494981,8261228.03131325,13427158.4243637,4494.65745490936,8437.90998731582,8842.64375408043
115,336.8589,13.76634,NA,NA,2.28189708182283,NA,2307423.29822537,1866175.66886464,1554293.71707834,11234716.9069359,9530860.57731857,7030475.72203154
116,178.9727,13.92101,NA,NA,2.05689642610525,NA,6567231.65546908,8963114.29021,12604905.2516842,2044611.89644454,1881987.63775087,1937618.84930171
117,254.968,13.43791,NA,NA,3.92230513411341,NA,12987535.3744842,11946235.3683142,12989036.3001097,1169188.61400002,1236879.77736508,1280548.9539351
118,339.2,1.950258,NA,NA,2.84591093098558,NA,13257448.8378979,13589248.6943709,13010519.7181338,6262890.3765276,5758039.99415425,6299122.74108249
119,199.1705,2.392184,"C12H24O2","Dodecanoic acid",0,NA,9608300.70456622,9374867.94101839,10748710.2353036,9755579.38037179,11130973.1143658,10786740.1966643
120,228.205,2.342047,NA,NA,1.60624935965192,NA,9052590.6879538,8712709.91862354,9815689.48998118,10226283.417144,10742935.7370772,9765020.53271514
121,233.1548,2.374911,"C15H22O2","Valerenic acid",2.41485523593425,NA,6081640.58214558,5324066.06744795,6104452.84753256,10412603.9637469,9783489.33288111,9466875.09323894
122,267.1438,1.929953,NA,NA,1.33985578392111,NA,11730217.6592779,12161103.9527073,12053826.2183244,9967424.33481282,9679135.63462946,9525554.92565229
123,747.5182,3.928622,"C40H77O10P","PG(16:0/18:1(11Z))",2.579071069902,NA,6254787.17408654,6093043.74140638,5007402.49391716,296.640165831425,2256.56582744277,2428.12428471724
124,744.2046,2.290606,NA,NA,0,NA,8563730.53793859,9348052.71513866,10459603.7019292,7699426.17843991,8012483.26076236,7904557.64390108
125,147.0298,13.21972,"C5H8O5","Citramalic acid",1.86318434227315,NA,359509.389519947,424389.128399717,1368421.71049094,6248771.83075706,9364516.36503137,10229264.2712076
126,745.5024,3.922328,"C40H75O10P","PG(16:0/18:2(9Z,12Z))",2.96369055627556,NA,4242441.52490645,4084931.6564225,3664062.86786307,1672.05855531347,1213.87004415105,388.305246333539
127,224.9828,3.380347,NA,NA,0,NA,13042.4272447249,13274.5815883936,10613.9164677224,9686.68446340072,9647.59653253147,10655.5436296011
128,241.0567,2.498925,NA,NA,0,NA,7259214.84005884,9411425.16535769,11236924.5107845,224162.67502478,1110025.95612745,3358770.31066547
129,170.1187,2.687067,"C9H17NO2","Gabapentin",3.93438294427313,NA,260434.902126573,291046.788776676,278783.523881194,9508334.09437235,8973285.36510444,8291789.45492959
130,241.21755,2.328845,"C15H30O2","Pentadecanoic acid",2.40648133751817,NA,9534988.63283197,9668743.96619882,10861849.9584358,5662895.1034903,5818117.26902271,5801064.33068752
131,390.9009,13.93238,NA,NA,3.58113548579227,NA,9889594.29724445,10510069.177377,10214678.3329246,1555.69167354037,1014.32976292074,2171.20051270708
