"id","formula","degree","parent","score","parent_formula"
73,"C4H11NO",6,147,0.996609314013308,"C4H11NO2"
73,"C5H15NO-4S2 Illegal_formula",14,4863,0,"C16H32N2O5S2"
74,"C2H3O2P",10,83,0.767648752146906,"C2H5O2P"
74,"C2H3O2P",7,148,5.86973708756254e-07,"C2H3O3P"
75,"C2H2O4",3,139,0.998298941438797,"C3H4O4"
75,"C3H6O-1S2 Illegal_formula",7,160,0,"C3H8S2"
75,"C3H6O-1S2 Illegal_formula",6,362,0,"C5H8S2"
76,"C3H6OS",4,149,0.997684280276931,"C3H6O2S"
77,"C3H6O3",2,6,0.998868688097001,"C3H4O2"
77,"C4H10O-2S2 Illegal_formula",7,385,0,"C5H10S2"
78,"C2H6N2O2",5,142,0.997172500741348,"C3H8N2O2"
79,"C4H10S",5,388,0.997140735098138,"C5H10O2S"
79,"C3H6O5S-1 Illegal_formula",4,261,0,"C3H6O5"
80,"C4H10O2",4,28,0.997737183327734,"C3H8O2"
81,"C2H5NO3",4,145,0.997740423120115,"C3H7NO3"
83,"C2H5O2P",9,172,0.768083912885935,"C2H7O3P"
83,"C2H5O2P",8,74,5.86641156663172e-07,"C2H3O2P"
84,"C3H8OS",5,388,0.997140149787939,"C5H10O2S"
85,"C3H8O3",3,15,0.998302775402811,"C3H6O2"
85,"C4H12O-2S2 Illegal_formula",8,409,0,"C5H12S2"
86,"C7H8",4,866,0.997641520334575,"C7H8O3S"
86,"C-1H12N2O2S Illegal_formula",17,3721,0,"C15H42N2O3S"
88,"C6H7N",5,167,0.997163273567897,"C6H7NO"
88,"C6H7N",6,159,0.996514641494163,"C7H9N"
88,"C6H7N",7,32,0.996042001221947,"C6H6"
89,"CH3O3P",6,184,0.730209963847921,"CH5O4P"
89,"CH3O3P",9,184,0.728943520515681,"CH5O4P"
90,"C2H6S2",6,171,0.996505787632258,"C2H6OS2"
90,"C2H6S2",7,160,0.995958601606661,"C3H8S2"
90,"C2H6S2",11,4943,0.993699787161419,"C13H23NO9S2"
90,"CH2O5",4,261,0.00114807578067514,"C3H6O5"
91,"C2H6O2S",4,23,0.997697823224514,"C2H4OS"
91,"C2H6O2S",6,263,0.99657543291077,"C4H10O2S"
92,"C2H7O2P",9,172,0.768084364865548,"C2H7O3P"
93,"C6H6O",3,190,0.99830365975921,"C6H8O2"
93,"C-2H10N2O3S Illegal_formula",17,3760,0,"C14H40N2O4S"
94,"C5H6N2",5,175,0.997172478936964,"C5H6N2O"
94,"C5H6N2",8,2233,0.995475576708629,"C11H16N2O5"
95,"C7H10",4,176,0.997748885096035,"C7H10O"
95,"C7H10",5,86,0.997076302896751,"C7H8"
95,"C7H10",7,2239,0.996061644911423,"C13H20O5"
95,"C5H13N-2O3P-1S Illegal_formula",14,5306,0,"C15H25N3O9S"
96,"C5H5NO",3,194,0.998311310426,"C5H7NO2"
97,"C6H9N",5,180,0.997163944963365,"C6H9NO"
97,"C6H9N",7,168,0.995961785410616,"C7H11N"
97,"C6H9N",8,88,0.995477689997503,"C6H7N"
97,"C6H9N",9,37,0.994920117023358,"C5H7N"
97,"C5H16N-1O-2P-1S3 Illegal_formula",15,6094,0,"C14H29N2O8PS3"
98,"C-5N2O6S Illegal_formula",12,3791,0,"C11H30N2O7S"
98,"C3H-4O4 Illegal_formula",8,3791,0,"C19H26O5"
98,"C3H-4O4 Illegal_formula",7,275,0,"C5O4"
98,"C3H-4O4 Illegal_formula",6,3791,0,"C19H26O5"
99,"C5H4O2",2,107,0.998869572956291,"C5H6O2"
99,"C-3H8N2O4S Illegal_formula",16,3797,0,"C13H38N2O5S"
100,"C6H8O",3,190,0.998302775840435,"C6H8O2"
100,"C-2H12N2O3S Illegal_formula",18,3798,0,"C14H42N2O4S"
101,"H3NO3S",6,283,0.996555343181855,"C2H7NO3S"
101,"H3NO3S",8,2278,0.995442113364184,"C6H13NO8S"
101,"CH7NO-2S3 Illegal_formula",14,4991,0,"C12H24N2O7S3"
101,"C8H-1N-1O Illegal_formula",11,4991,0,"C19H16O10"
101,"C8H-1N-1O Illegal_formula",10,4991,0,"C19H16O10"
102,"C5H7NO",3,194,0.998311897885202,"C5H7NO2"
103,"H2O4S",5,293,0.997079633328653,"C2H6O4S"
103,"H2O4S",7,2295,0.996084241991095,"C6H12O9S"
