"node1","node2","linktype","mass_dif","edge_massdif_score"
7430,7645,12,-2.79999348151705e-08,0.999429898356921
7431,7646,12,-2.80000485020082e-08,0.99942989834009
7435,7655,12,7.20000308263025e-08,0.999444612356543
7436,7656,12,-2.79999348151705e-08,0.999429898356921
7444,7661,12,-2.80000485020082e-08,0.99942989834009
7464,7672,12,7.20000308263025e-08,0.999444612356543
7467,7681,12,-2.79999348151705e-08,0.999429898356921
7472,7684,12,7.20000308263025e-08,0.999444612356543
7475,7685,12,-2.80000485020082e-08,0.99942989834009
7477,7686,12,-2.79999348151705e-08,0.999429898356921
7478,7687,12,-2.79999348151705e-08,0.999429898356921
7480,7695,12,7.20000308263025e-08,0.999444612356543
7482,7698,12,-2.80000485020082e-08,0.99942989834009
7487,7703,12,-5.27999990396211e-07,0.999353590267895
7489,7705,12,-2.80000485020082e-08,0.99942989834009
7493,7710,12,7.20000308263025e-08,0.999444612356543
7496,7711,12,-2.79999348151705e-08,0.999429898356921
7501,7715,12,-2.80000485020082e-08,0.99942989834009
7503,7718,12,-2.80000485020082e-08,0.99942989834009
7505,7719,12,-2.79999348151705e-08,0.999429898356921
7506,7720,12,-2.80000485020082e-08,0.99942989834009
7507,7721,12,7.19999171394647e-08,0.999444612339919
7511,7723,12,-2.79999348151705e-08,0.999429898356921
7513,7727,12,-2.80000485020082e-08,0.99942989834009
7517,7733,12,-2.80000485020082e-08,0.99942989834009
7518,7735,12,-2.79999348151705e-08,0.999429898356921
7521,7738,12,-2.79999348151705e-08,0.999429898356921
7522,7739,12,7.19999171394647e-08,0.999444612339919
7525,7743,12,-2.80000485020082e-08,0.99942989834009
7526,7747,12,-2.79999348151705e-08,0.999429898356921
7528,7748,12,-2.80000485020082e-08,0.99942989834009
7530,7749,12,-2.79999348151705e-08,0.999429898356921
7531,7752,12,7.20000308263025e-08,0.999444612356543
7534,7756,12,-2.80000485020082e-08,0.99942989834009
7536,7759,12,7.20000308263025e-08,0.999444612356543
7537,7760,12,-2.80000485020082e-08,0.99942989834009
7538,7761,12,7.20000308263025e-08,0.999444612356543
7539,7762,12,-2.79999348151705e-08,0.999429898356921
7544,7765,12,7.20000308263025e-08,0.999444612356543
7546,7767,12,7.20000308263025e-08,0.999444612356543
7552,7775,12,7.20000308263025e-08,0.999444612356543
7553,7776,12,7.20000308263025e-08,0.999444612356543
7556,7781,12,-4.28000024754738e-07,0.999369216925261
7566,7786,12,-2.79999348151705e-08,0.999429898356921
7579,7792,12,-2.80000485020082e-08,0.99942989834009
7581,7794,12,-2.80000485020082e-08,0.99942989834009
7583,7798,12,-2.80000485020082e-08,0.99942989834009
7590,7807,12,-2.79999348151705e-08,0.999429898356921
7592,7808,12,-2.80000485020082e-08,0.99942989834009
7593,7810,12,-2.80000485020082e-08,0.99942989834009
7596,7815,12,7.20000308263025e-08,0.999444612356543
7597,7816,12,7.20000308263025e-08,0.999444612356543
7603,7821,12,7.20000308263025e-08,0.999444612356543
7605,7822,12,-2.79999348151705e-08,0.999429898356921
7606,7823,12,-2.79999348151705e-08,0.999429898356921
7607,7824,12,-2.80000485020082e-08,0.99942989834009
7608,7826,12,-2.80000485020082e-08,0.99942989834009
7609,7827,12,-2.79999348151705e-08,0.999429898356921
7613,7831,12,-2.80000485020082e-08,0.99942989834009
7614,7832,12,-2.80000485020082e-08,0.99942989834009
7615,7833,12,-2.80000485020082e-08,0.99942989834009
7623,7842,12,-2.80000485020082e-08,0.99942989834009
7624,7843,12,7.20000308263025e-08,0.999444612356543
7625,7844,12,-2.79999348151705e-08,0.999429898356921
7629,7848,12,7.19999171394647e-08,0.999444612339919
7631,7850,12,7.20000308263025e-08,0.999444612356543
7633,7851,12,7.20000308263025e-08,0.999444612356543
7634,7852,12,7.20000308263025e-08,0.999444612356543
7635,7853,12,7.20000308263025e-08,0.999444612356543
7638,7858,12,-2.80000485020082e-08,0.99942989834009
7639,7859,12,-2.79999348151705e-08,0.999429898356921
7640,7861,12,7.19999171394647e-08,0.999444612339919
7643,7863,12,7.20000308263025e-08,0.999444612356543
7644,7864,12,-2.79999348151705e-08,0.999429898356921
7645,7865,12,-2.80000485020082e-08,0.99942989834009
7646,7866,12,7.20000308263025e-08,0.999444612356543
7659,7875,12,7.20000308263025e-08,0.999444612356543
7661,7876,12,-2.79999348151705e-08,0.999429898356921
7667,7881,12,-2.79999348151705e-08,0.999429898356921
7671,7886,12,-2.80000485020082e-08,0.99942989834009
7672,7887,12,-2.80000485020082e-08,0.99942989834009
7676,7890,12,-2.80000485020082e-08,0.99942989834009
7678,7891,12,-2.79999348151705e-08,0.999429898356921
7684,7895,12,-5.27999990396211e-07,0.999353590267895
7685,7896,12,-2.79999348151705e-08,0.999429898356921
7686,7897,12,-2.80000485020082e-08,0.99942989834009
7689,7901,12,7.20000308263025e-08,0.999444612356543
7693,7902,12,-4.28000024754738e-07,0.999369216925261
7694,7903,12,7.20000308263025e-08,0.999444612356543
7695,7904,12,-2.80000485020082e-08,0.99942989834009
7703,7909,12,4.72000007079032e-07,0.999501642730899
7704,7910,12,7.20000308263025e-08,0.999444612356543
7705,7911,12,-2.79999348151705e-08,0.999429898356921
7706,7912,12,-2.80000485020082e-08,0.99942989834009
7708,7914,12,-2.79999348151705e-08,0.999429898356921
7709,7916,12,-2.80000485020082e-08,0.99942989834009
7718,7924,12,-2.79999348151705e-08,0.999429898356921
7719,7926,12,-2.80000485020082e-08,0.99942989834009
7720,7927,12,7.20000308263025e-08,0.999444612356543
7721,7928,12,-2.79999348151705e-08,0.999429898356921
7722,7930,12,-5.27999990396211e-07,0.999353590267895
7723,7931,12,7.19999171394647e-08,0.999444612339919
7726,7933,12,-2.79999348151705e-08,0.999429898356921
7738,7942,12,-2.80000485020082e-08,0.99942989834009
7739,7943,12,-2.79999348151705e-08,0.999429898356921
7742,7945,12,-2.80000485020082e-08,0.99942989834009
7743,7949,12,-2.79999348151705e-08,0.999429898356921
7745,7950,12,-2.79999348151705e-08,0.999429898356921
7747,7953,12,-2.80000485020082e-08,0.99942989834009
7756,7963,12,-2.79999348151705e-08,0.999429898356921
7758,7964,12,-2.79999348151705e-08,0.999429898356921
7759,7966,12,-2.79999348151705e-08,0.999429898356921
7760,7967,12,-2.79999348151705e-08,0.999429898356921
7761,7968,12,-2.80000485020082e-08,0.99942989834009
7762,7969,12,-2.80000485020082e-08,0.99942989834009
7764,7974,12,7.20000308263025e-08,0.999444612356543
7765,7976,12,-2.79999348151705e-08,0.999429898356921
7773,7982,12,-2.80000485020082e-08,0.99942989834009
7776,7983,12,-2.80000485020082e-08,0.99942989834009
7784,7990,12,-2.80000485020082e-08,0.99942989834009
7792,7995,12,-2.79999348151705e-08,0.999429898356921
7793,7997,12,-2.79999348151705e-08,0.999429898356921
7794,7998,12,-2.79999348151705e-08,0.999429898356921
7798,8001,12,-2.79999348151705e-08,0.999429898356921
7801,8004,12,7.20000308263025e-08,0.999444612356543
7808,8006,12,-2.79999348151705e-08,0.999429898356921
7809,8007,12,-2.80000485020082e-08,0.99942989834009
7810,8010,12,7.20000308263025e-08,0.999444612356543
7815,8013,12,-5.27999990396211e-07,0.999353590267895
7816,8014,12,-2.80000485020082e-08,0.99942989834009
7823,8021,12,7.19999171394647e-08,0.999444612339919
7824,8022,12,7.20000308263025e-08,0.999444612356543
7826,8023,12,7.20000308263025e-08,0.999444612356543
7827,8024,12,-2.80000485020082e-08,0.99942989834009
7831,8028,12,-4.28000024754738e-07,0.999369216925261
7832,8029,12,7.20000308263025e-08,0.999444612356543
7841,8037,12,-4.28000024754738e-07,0.999369216925261
7842,8038,12,-2.79999348151705e-08,0.999429898356921
7851,8050,12,-2.80000485020082e-08,0.99942989834009
7859,8054,12,-2.80000485020082e-08,0.99942989834009
7861,8055,12,-2.79999348151705e-08,0.999429898356921
7863,8056,12,-2.80000485020082e-08,0.99942989834009
7864,8058,12,7.19999171394647e-08,0.999444612339919
7865,8059,12,7.20000308263025e-08,0.999444612356543
7875,8071,12,-5.27999990396211e-07,0.999353590267895
7876,8072,12,-2.80000485020082e-08,0.99942989834009
7878,8077,12,-2.80000485020082e-08,0.99942989834009
7886,8083,12,-2.79999348151705e-08,0.999429898356921
7887,8084,12,-2.79999348151705e-08,0.999429898356921
7888,8085,12,-2.80000485020082e-08,0.99942989834009
7889,8089,12,-2.80000485020082e-08,0.99942989834009
7890,8091,12,-2.79999348151705e-08,0.999429898356921
7895,8096,12,-2.80000485020082e-08,0.99942989834009
7896,8097,12,7.20000308263025e-08,0.999444612356543
7897,8098,12,7.20000308263025e-08,0.999444612356543
7898,8099,12,-2.79999348151705e-08,0.999429898356921
7902,8101,12,-2.79999348151705e-08,0.999429898356921
7903,8102,12,-2.80000485020082e-08,0.99942989834009
7904,8103,12,-2.79999348151705e-08,0.999429898356921
7908,8107,12,-0.000513127999969498,0.0834234337725842
7909,8108,12,7.19999171394647e-08,0.999444612339919
7910,8109,12,7.19999171394647e-08,0.999444612339919
7911,8110,12,-2.80000485020082e-08,0.99942989834009
7913,8112,12,-2.80000485020082e-08,0.99942989834009
7914,8113,12,7.19999171394647e-08,0.999444612339919
7916,8114,12,7.20000308263025e-08,0.999444612356543
7917,8115,12,-2.79999348151705e-08,0.999429898356921
7924,8123,12,-2.80000485020082e-08,0.99942989834009
7925,8124,12,7.20000308263025e-08,0.999444612356543
7926,8125,12,-2.79999348151705e-08,0.999429898356921
7927,8126,12,-2.80000485020082e-08,0.99942989834009
7928,8127,12,-2.80000485020082e-08,0.99942989834009
7929,8132,12,-2.80000485020082e-08,0.99942989834009
7930,8134,12,-2.80000485020082e-08,0.99942989834009
7938,8140,12,-2.79999348151705e-08,0.999429898356921
7942,8142,12,7.20000308263025e-08,0.999444612356543
7943,8143,12,-2.80000485020082e-08,0.99942989834009
7948,8146,12,7.20000308263025e-08,0.999444612356543
7951,8152,12,-2.80000485020082e-08,0.99942989834009
7962,8155,12,-2.80000485020082e-08,0.99942989834009
7963,8156,12,-2.80000485020082e-08,0.99942989834009
7966,8157,12,-2.80000485020082e-08,0.99942989834009
7968,8158,12,-2.79999348151705e-08,0.999429898356921
7969,8159,12,7.20000308263025e-08,0.999444612356543
7972,8162,12,7.20000308263025e-08,0.999444612356543
7982,8167,12,-2.79999348151705e-08,0.999429898356921
7986,8170,12,-2.79999348151705e-08,0.999429898356921
7991,8182,12,-2.79999348151705e-08,0.999429898356921
