label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Ecoli-12C14N-a,nega-Ecoli-12C14N-b,nega-Ecoli-12C14N-c,nega-process-blank-A,nega-process-blank-A-end,nega-process-blank-B,nega-process-blank-B-end,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,9056,10,141.0355,13.87057,0.844909,,,,,0,0,141.0355,25362.3,26488.34,36310.23,73657.83,88615.07,59395.23,101439.7,44287.52,50169.75,37925.45
,0,9057,2,436.8691,13.86212,0.8438443,,,,,0,0,436.8691,13111.82,20548.23,63638.45,0,0,1731.678,0,0,0,0
,0,9058,2,207.9585,7.06058,0.8289095,,,,,0,0,207.9585,0,0,0,26584.4,24427.94,29171.18,25600.06,0,0,0
,0,9059,10,91.00364,8.616953,0.848253,,,,,0,0,91.00364,30839.46,28669.88,31694.06,27002.54,76522.88,33495.67,64789.03,29471.33,33751.33,40885.81
,0,9060,7,303.0131,6.92848,0.8205252,,,,,0,0,303.0131,69048.99,61885.03,50742.86,23870.24,0,59286.84,9320.312,42195.75,42149.39,42084.89
,0,9061,9,355.1765,2.510008,0.8467857,,,,,0,0,355.1765,29422.38,19829.55,59312.67,29805.53,62934.97,33608.8,40152.62,60593.21,68676.79,27227.95
,0,9062,5,668.3765,2.004362,0.8455523,,,,,0,0,668.3765,0,0,0,40737.8,46059.5,28673.41,15118.03,27585.99,27977.02,42021.3
,0,9063,10,395.2077,2.52314,0.8522061,,,,,0,0,395.2077,120148.4,149658.8,133178.8,130752.1,152571.3,136119.4,170017.2,158587.6,161153.9,127399.9
,0,9064,9,360.1539,2.529773,0.8493073,,,,,0,0,360.1539,13574.62,26953.76,27546.91,44762.04,29151.77,47646.86,36800.39,46518.83,22290.84,52488.32
,0,9065,4,279.0957,11.2073,0.8499249,,,,,0,0,279.0957,1876.848,2542.249,1776.939,1548.163,0,1119.217,1111.878,45174.69,65250.02,75597.46
,0,9066,3,620.85,13.74518,0.8490085,,,,,0,0,620.85,2525.191,1515.463,4547.08,0,0,0,966.7617,37501.02,37020.14,65721.45
,0,9067,10,142.98,11.6343,0.849786,,,,,0,0,142.98,24849.97,28952.41,27617.01,8364.351,10392.78,7967.599,10106.36,55862.47,55723.59,69589.99
,0,9068,9,573.3649,2.553328,0.8505944,,,,,0,0,573.3649,32009.04,22678.99,22482.15,44084.75,47549.22,36419.93,74680.61,45060.41,36974.32,41455.72
,0,9069,2,95.05031,2.594722,0.6769624,,,,,0,0,95.05031,39031.32,26474.71,33300.97,33735.12,36160.01,42848.5,33317.29,43197.99,29725.94,30449.64
,0,9070,3,282.0204,13.80452,0.8509116,,,,,0,0,282.0204,57636.03,54057.61,59700.96,0,0,0,0,3334.318,4565.278,0
,0,9071,8,412.1851,2.526987,0.8456907,,,,,0,0,412.1851,14270.91,20056.68,19989.49,39998.79,32182.73,25580.34,49820.23,11611.57,10548.34,31095.39
,0,9072,3,857.263,7.11913,0.7995387,,,,,0,0,857.263,0,0,0,34737.14,37812.72,16721.74,17250.9,0,0,0
,0,9073,10,505.1078,2.37623,0.8525739,,,,,0,0,505.1078,49223.86,52852.71,92431.91,95171.59,175095.9,79466.73,188618.9,38971.84,51982.47,65050.43
,0,9074,3,413.8869,14.03535,0.84716,,,,,0,0,413.8869,25389.28,23413.02,53076.69,0,1842.036,0,1603.701,639.9028,0,0
,0,9075,3,228.0644,14.1271,0.8492547,,,,,0,0,228.0644,0,0,0,0,0,0,0,74896.1,64198.81,55278.13
,0,9076,10,505.2595,2.115785,0.8502678,,,,,0,0,505.2595,36208.47,28889.58,39772.69,41768.62,54079.48,50766.71,53298.94,33286.43,44570.84,44164.08
