"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-process-blank-A","nega-process-blank-A-end","nega-process-blank-B","nega-process-blank-B-end","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
6114,542.0834,2.531509,NA,NA,0,FALSE,79885.88,126463.8,112469.4,6736.074,25505.21,26230.42,33368.68,1191,11514.56,43960.74
6116,663.4805,4.18145,NA,NA,2.30706499746886,FALSE,117786.1,117957.8,98036.73,1787,1646,1930,396,2472,502,888
6117,336.2265,6.865866,NA,NA,0,TRUE,89440.87,79363.23,89714.94,105923.1,102270.9,100190.1,97141.41,96392.52,87472.1,97209.01
6120,435.2177,2.50061,"C27H32O5 ; C24H33FO6","Kanzonol I ; Flurandrenolide",0,TRUE,20684.37,18666.97,13034.05,40659.69,55288.03,51498.19,25196.09,97849.94,51334.69,28716.41
6121,458.2635,2.494934,NA,NA,1.30604453516374,TRUE,22375.37,33186.37,34063.08,94158.29,102121.1,87060.38,92707.53,101774.9,65578.15,56816.83
6122,116.9784,13.40194,NA,NA,2.43837396203411,TRUE,109466.7,119997.6,106508.1,62148.36,82118.32,62216.66,82685.68,58094.44,49549.52,57199.22
6125,207.98235,7.147966,NA,NA,0,TRUE,757,1906,671,111837.5,121907.7,116663.3,145265.4,1332,2674.629,1968
6127,373.1367,2.520422,NA,NA,0,TRUE,62035.75,50723.74,31067.09,122948.6,4062.243,90580.48,20632.29,89304.71,53820.83,48426.79
6128,546.8235,13.46164,NA,NA,2.50012055104357,FALSE,117255.3,103639.6,101143.9,7134.744,11345.35,11441.03,13331.8,11116.71,17628.01,18668.16
6129,523.0624,2.427582,NA,NA,0,TRUE,67549.84,99381.26,119564,27378.75,101502.9,23559.75,86032.55,2153,303,14250.24
6130,166.0226,11.44752,NA,NA,1.76386598318457,TRUE,64282.39,74043.15,73980.84,123337.3,84842.77,127884.5,84276.1,50927.01,47811.55,44634.67
6131,451.3545,2.666667,NA,NA,2.25765985718038,FALSE,2428,2235,565,1913,2440,1068,1570,110581.3,115998.8,122655.8
6132,645.3282,2.466677,NA,NA,0,TRUE,26702.44,27214.96,47631.88,98687.13,77406.04,86284.92,110765.6,72003.37,63775.38,70593.52
6133,210.0773,2.510277,"C10H13NO4","Methyldopa",0,TRUE,68439.41,61166.94,56974.59,122990.4,18351.35,103675.7,32421.53,87421.46,94193.45,61451.43
6134,561.1882,2.372467,NA,NA,0,TRUE,84592.65,82608.82,86633.61,72534.69,70353.97,104693.1,107117.2,54810.77,84991.91,115822.7
6135,274.8793,13.01698,NA,NA,1.36371274790149,TRUE,66674.03,49368.62,57547.51,86074.21,80219.8,69997.51,73957.68,40627.49,37319.99,31329.07
6136,96.94013,13.82894,NA,NA,0,FALSE,99363.15,124915.5,37833.45,4591.114,8271.356,10491.05,9150.958,76278.35,114446.7,100566.9
