"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
71,807.2132,2.285931,NA,NA,0,NA,23972953.8976657,25286804.6861482,26412150.6566143,21289216.0994295,20916350.2548095,18328657.7853918
72,567.2297,2.473867,NA,NA,3.35911129241138,NA,26989629.2505873,23670410.9679758,28147388.1573109,262570.518180891,226295.502899668,156443.390842096
73,101.0244,11.65816,"C4H6O3","2-Ketobutyric acid",3.18046922509638,NA,12045336.8397718,12215710.2715115,12692899.7364432,23561165.0068213,22968788.330831,22123905.5866818
74,352.945,13.45235,NA,NA,4.09306189097376,NA,25571499.3789306,25422459.0970999,26966343.0682437,699144.816207858,838609.113692985,750539.604441691
75,71.01342,11.63139,NA,NA,3.42659456703547,NA,12468214.4741773,12911621.2898243,13376480.1602882,22679924.3341151,23157344.1152073,23587201.7970147
76,94.98066,2.494222,NA,NA,1.37828378335269,NA,24740955.7733786,23036364.1406796,20596825.3937682,16313644.8446128,14180897.4060394,14791773.5259702
77,301.2174,6.312753,"C20H30O2","Eicosapentaenoic acid",0,NA,4385772.37630035,4341182.33855059,4363709.87472857,3651525.02832997,3895471.34269389,3969890.63401663
78,356.281,2.593122,NA,NA,3.65649293788557,NA,2210364.74145855,2163550.58864299,2453483.89582263,19129666.1539078,20856243.6357821,22473795.8394004
79,294.1828,1.915892,NA,NA,2.14836257370089,NA,24431428.1449364,23464845.3530187,24397617.6419658,18168256.330275,18197506.3277969,17783983.1677431
80,720.4912,2.436419,NA,NA,3.82110934495109,NA,22759190.8507054,17844317.9907478,21038027.657378,6382.45353224186,4156.99235657341,4713.75432736572
81,545.0473,1.854881,NA,NA,1.42035357066819,NA,19975104.2505526,20219698.4160613,20972303.244939,19932626.2529491,19967281.9015147,21122045.9795273
82,296.2597,2.601022,"C18H35NO2","Palmitoleoyl Ethanolamide",3.84630705999145,NA,2933405.25531869,2590788.07065963,2712912.51093013,19283136.9020823,19891026.2136484,19595609.4055937
83,325.1844,1.956514,"C18H30O3S","2-Dodecylbenzenesulfonic acid",3.3435184842095,NA,21400861.9678232,21795590.3174776,21672303.6922557,11747131.7940354,11522209.0049859,11699446.1833343
84,374.2451,2.475439,NA,NA,0,NA,8686636.81455431,7604658.4593753,8465324.26549022,18011218.2694953,11785338.0787789,7166713.0843448
85,311.1653,2.440895,"C20H24O3","Methyl (9Z)-10'-oxo-6,10'-diapo-6-carotenoate",2.07527114171302,NA,36800.4035771866,49604.8334798448,100705.942889055,482540.551685,490160.234758879,518591.455337836
86,216.9284,13.96867,NA,NA,2.73740654197395,NA,8926950.27446866,12641635.112321,18466421.5252279,240425.80519678,138889.621494904,131343.853006401
87,295.2474,2.568072,NA,NA,3.95066566402772,NA,1088089.06214888,972215.879357707,1050444.18888306,15747510.4265176,15207072.4278116,14999283.4776954
88,143.0349,11.6424,"C6H8O4","3-Hexenedioic acid",3.4377666320135,NA,8641252.78420003,8563880.19110142,8947042.54922924,15700887.3676564,15872529.4843284,15262825.0169494
89,240.0595,2.502056,NA,NA,0,NA,11338952.106551,14224507.019479,17407429.72804,316433.5047422,1631299.50923716,5081766.59579327
91,224.9851,1.928389,NA,NA,2.0208752006237,NA,13880312.5140931,13445080.4547597,13872781.4635235,14420880.2829593,14214095.4312598,14447743.8691626
92,314.9057,13.98666,NA,NA,2.66514431038271,NA,7264760.16274328,11261661.3020023,16944079.2681279,22678.9800454843,6361.54957473532,5679.10759024045
93,174.0883,13.47184,"C6H13N3O3","Citrulline",3.66661318834047,NA,69353.6711472815,53894.1914986949,44453.0143670462,14324724.9931925,13517054.2782679,13287199.6076648
94,131.0825,13.45592,"C5H12N2O2","Ornithine",3.4377666320135,NA,66852.7834501616,36755.1208396723,53425.1500803503,14600714.8066437,13106108.8941832,13293186.9718734
95,242.0518,11.55124,NA,NA,1.71783122169536,NA,14148387.8098047,13671119.2712714,13522410.0719932,13110312.5843933,13642373.3999896,13716836.8709666
96,196.8948,13.96938,NA,NA,2.36953144355657,NA,16030935.7045352,13837127.8154725,15157387.9286978,172354.422370977,32303.4196261936,42450.5195045466
97,354.2653,2.566469,NA,NA,2.9359165640364,NA,5177940.10344968,5002104.41088417,5911365.78069899,13986269.0560748,13313112.3731869,13524119.8044278
