label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Ecoli-12C14N-a,nega-Ecoli-12C14N-b,nega-Ecoli-12C14N-c,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,16483,1,220.7668,3.744854,0.8339443,,,,,0,0,220.7668,18247.92,4367.988,6415.542,0,0,572.7941
,0,16484,5,182.0025,6.796792,0.8404853,,,,,0,0,182.0025,21199.02,19010.52,19923.55,10979.36,11151.14,15401.83
,0,16485,6,355.978,3.305037,0.8410857,,,,,0,0,355.978,26307.07,14307.18,15601.61,14571.17,18258.89,17424.95
,0,16486,6,96.99796,13.85151,0.8159335,,,,,0,0,96.99796,7561.406,8556.657,16614.81,21700.88,34474.89,13840.44
,0,16487,5,576.399,2.401653,0.8449808,,,,,0,0,576.399,28199.59,17439.35,19793.48,63481.84,50917.22,26747.41
,0,16488,3,201.0129,11.08173,0.8478227,,,,,0,0,201.0129,22873.68,24344.4,22895.95,644.9324,433.8588,0
,0,16489,5,309.0769,3.972853,0.8383344,,,,,0,0,309.0769,12170.71,5114.198,13799.32,3622.029,6478.623,5779.888
,0,16490,1,97.09534,13.84998,0.6755306,,,,,0,0,97.09534,6432.797,5519.555,4456.271,7097.856,4889.194,20442.03
,0,16491,3,175.1109,16.59131,0.8438264,,,,,0,0,175.1109,0,0,0,22205.04,20837.56,26789.85
,0,16492,3,677.8822,13.39138,0.8435169,,,,,0,0,677.8822,17504.3,14878.9,8749.386,0,0,0
,0,16493,1,340.1638,4.01557,0.7515935,,,,,0,0,340.1638,3084.112,3789.05,9787.909,3217.743,11158.7,5965.771
,0,16494,1,100.0405,12.69781,0.5822743,,,,,0,0,100.0405,7337.677,5908.41,8679.462,21394,23754.07,16437.33
,0,16495,1,618.4003,2.448884,0.7248917,,,,,0,0,618.4003,0,0,7918.566,9785.153,14059.39,16012.93
,0,16496,1,379.1219,1.98957,0.827434,,,,,0,0,379.1219,3475.6,6835.527,11656.36,16065.35,18848,10624.23
,0,16497,1,566.3187,2.723408,0.8285594,,,,,0,0,566.3187,4111.572,14893.52,6492,6314.304,5116.029,2571.243
,0,16498,2,215.2021,2.2591,0.8229099,,,,,0,0,215.2021,9781.983,5252.962,2563.361,10660.13,11199.47,4556.254
