"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-process-blank-A","nega-process-blank-A-end","nega-process-blank-B","nega-process-blank-B-end","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
4453,550.1517,2.331197,"C24H29N3O10S","2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-{[2-(3,5-dihydroxyphenyl)-2-hydroxy-1-(4-hydroxyphenyl)ethyl]sulfanyl}ethyl}-C-hydroxycarbonimidoyl)butanoic acid",0,TRUE,76583.7426523698,93926.608758949,88932.4065807251,77335.87,109370.9,102998.3,98886.12,24002.8033003742,61968.3376523283,57799.1747940454
4454,424.2639,2.647252,NA,NA,0,TRUE,46150.69057513,54353.992361353,81568.8425574457,58729.53,153736.1,57836.74,150122.1,91232.0479468643,114530.841695741,146096.349272203
4456,349.2374,2.462837,"C21H34O4","Tetrahydrocorticosterone",1.78502376527793,FALSE,15211.1956844404,22792.8377268213,8740.31931725887,24372.33,30818.38,27988.75,22670.23,167539.417353051,120777.993932836,76447.9237963683
4457,273.1862,3.892545,"C18H26O2","Nandrolone",0,TRUE,130672.09976395,143982.434506761,134289.516519233,139310.8,92039.09,154957,93666.26,121075.221649784,120818.130373776,145380.184966512
4458,737.5056,2.570282,NA,NA,1.31097543479499,TRUE,4542.33312058153,20128.1374567992,22683.5569472374,86663.15,146440.5,121413,138451,65404.8823518076,102721.871661462,111163.391792344
4459,209.0974,2.441287,"C15H14O","1,3-Diphenyl-1-propanone",0,TRUE,96566.9876696014,87612.0437359885,108916.76572181,129021.7,131664,140298.5,137428.5,58823.3584691618,83990.1004575221,89860.2364430713
4460,556.9438,14.00812,NA,NA,0,TRUE,1538.32623143127,1034.5301690225,997.133437099026,1229,122790.2,1825,150068.6,2693.5630075337,17233.391183992,13861.934451518
4461,682.1973,2.308732,NA,NA,0,TRUE,76821.6883720413,123424.571703434,90131.9352704383,92602.13,108205.5,66717.16,163968,83666.3592313293,97916.1452693178,79062.7857151208
4462,366.2036,1.896973,"C18H29N3O5","Bambuterol",0,TRUE,67591.2684098317,80565.423338957,82862.4628025703,111651.8,59166.58,84522.49,61530.26,82578.1304295136,78861.0590167129,67400.1508308487
4464,187.9657,12.81724,NA,NA,3.56503211157219,FALSE,1415.69043396053,2113.60415587159,1497.33123542569,785,560,915,1908,144227.347806987,173300.955102393,162199.767911341
4465,257.1187,2.541025,"C16H18O3","Strobilurin A",0,TRUE,80258.0832650108,110791.633161089,94279.0643424995,101914.9,119369.5,134013,128174.5,70339.6122473125,100306.242062227,108558.272280145
4466,406.961066666667,1.95474566666667,NA,NA,0,TRUE,51089.2664118551,88040.3436803456,64788.1850714524,132990.3,138709.2,120921,106838.2,104386.603872438,116077.884794904,84871.1792746384
4467,698.3226,2.427817,NA,NA,0,TRUE,9471.55959137847,457.687728168189,454.527564566404,72181.51,85030.73,115462.3,97409.21,6801.9452928844,10666.5606743359,6680.1947583698
4470,675.4845,2.360245,NA,NA,0,TRUE,91217.5819113492,69744.2266350272,99709.2660104597,105597.9,136664.5,127829.2,124156.6,155771.394726135,124327.713531134,92220.8897476435
4471,245.0376,13.25094,NA,NA,0,FALSE,56337.6052124549,51152.9733887443,51176.3023855888,579,643,1246,24,157146.39487894,87763.6702202116,46411.5777891633
4472,379.17655,2.50057,"C20H28O7","Pteroside B",0,TRUE,163039.12912483,140534.520287894,128884.226876403,125424.6,136535.2,129285.9,174522.1,125773.581598968,116542.657243636,110152.032568105
4475,328.164,2.4887185,NA,NA,0,TRUE,90513.7815241803,112927.709673054,114877.818614042,169765.3,147733.7,170047.6,179812.4,144113.482038171,133908.92265922,114546.929588107
4476,300.2627,4.005967,NA,NA,3.60455128768413,FALSE,344165.317172419,349136.225877508,362906.442585561,269414.5,197037.6,219212.9,185684,1103381.28517849,1173991.83968026,1133704.365728
4477,425.1611,2.51939,"C24H26O7","Mangostanol",2.10016308877148,TRUE,42920.1839740721,53262.1565706966,48333.5804329118,108879.2,127826.9,126764.3,135821.2,77851.3361000882,98474.4751965796,81807.7574733851
4478,173.1547,2.289087,"C10H22O2","(<U+00A9><d0>?)-Hydroxycitronellol",1.52028076456043,TRUE,29720.7102143523,42423.0198441371,29030.3384590356,98785.54,115432.9,90447.72,123644.3,80985.2921445714,52834.8476964241,83007.4374162882
4479,302.8904,13.63429,NA,NA,0,FALSE,194886.677550634,202850.987348657,143817.632145445,13222.53,12260.23,11934.08,10468.49,8141.08459893321,13.1903796518149,1701.9984247618
4480,495.2591,6.88943,NA,NA,2.52492474121093,FALSE,4649.14029415768,6249.47536916134,10850.6407797608,18021.72,8538.452,13520.38,5834.301,133595.784333682,146793.191286116,136089.631229699
4482,200.093066666667,2.507298,NA,NA,0,TRUE,137171.581879378,119352.041799094,91151.5884823272,93344.13,30045.4,106625.6,28562.31,133075.46448905,111434.965374463,146494.618852079
4483,571.2916,2.550435,"C25H49O12P ; C32H44O9","1-Palmitoylglycerophosphoinositol ; Ganoderic acid H",1.76847943902975,TRUE,76919.9798879615,75172.9042090525,94375.4937789247,94092.07,101809.4,85336.16,135510,115214.386554758,122234.023412401,142876.776178723
