"node1","node2","time_dif","mz_dif","correlation","mz_node1","mz_node2","log10_inten_node1","log10_inten_node2","log10_inten_ratio","category","type","mz_dif_score","time_dif_score","color","Confidence"
2502,13224,0.0182299999999991,21.9814,0.847044790394604,238.0681,260.0495,5.17432961866941,4.24952181687916,-0.924807801790247,"H_replacement","Na",0.708477058876426,0.914883513200993,3,2.47040536247202
1014,10275,-0.0477780000000001,1.9971,0.954725834816012,299.0442,299.0442,4.05561002708848,5.7138772527744,-1.65826722568591,"natural_abundance","37Cl",0.999551468906592,0.516017560410582,5,2.47029486413319
11509,20250,-0.0493360000000003,1.99697,0.977248876776986,166.83523,166.835233333333,4.09721641835855,4.60399144910294,-0.506775030744389,"natural_abundance","37Cl",0.998858849029747,0.494114600718685,5,2.47022232652542
74,419,-0.0517699999999994,-18.0105,0.99692266323578,128.0353,146.0458,6.3704642973485,7.34068069791469,-0.970216400566191,"fragment","-H2O",0.998438920977335,0.474750474990772,2,2.47011205920389
7673,9937,-0.049858,-18.0104,0.980811625955418,359.0114,377.0218,4.37321311981136,4.58978822741258,-0.216575107601213,"fragment","-H2O",0.987669131170056,0.501366705996764,2,2.46984746312224
3465,580,-0.0100949999999997,97.9784,0.99702812002652,316.8686,316.8686,6.03576734327154,4.95003352573341,1.08573381753813,"adduct","H3PO4",0.504113315022075,0.96854700886069,1,2.46968844390928
5077,4301,-0.0354700000000001,97.97635,0.943568605806211,690.78895,690.78895,4.84496093745849,4.80873618305974,0.0362247543987442,"adduct","H3PO4",0.833188669505674,0.692549622163674,1,2.46930689747556
871,3736,-0.00984000000000052,60.02,0.992100563609178,242.0803,242.0803,4.9794611125043,5.58660579367193,-0.607144681167635,"adduct","C2H4O2",0.506671886908976,0.970017416337165,1,2.46878986685532
3752,4213,0.0393600000000003,21.9817,0.993762858088845,522.7539,544.7356,4.95021886323832,4.91404465651663,-0.036174206721693,"H_replacement","Na",0.823106784424924,0.651898994048089,3,2.46876863656186
13039,24396,-0.016350000000001,113.9906,0.95086351883567,400.0779,400.0779,3.64684836444012,4.26533241661288,-0.618484052172752,"adduct","C2HF3O2",0.595446245323357,0.922452998229355,1,2.46876276238838
3268,6912,0.0203600000000002,35.9782,0.975231145863167,438.9049,474.8831,5.00789996912965,4.78012716765483,-0.227772801474814,"adduct","HCl",0.59913752777463,0.894363024746771,1,2.46873169838457
2037,3218,-0.0194300000000016,21.9811,0.990956967383067,390.7889,390.7889,4.98059342990785,5.1598967039252,-0.179303274017352,"H_replacement","Na",0.584414313723359,0.893254577370939,3,2.46862585847736
9531,8920,-0.0457580000000002,46.0056,0.927634012635026,240.1608,240.1608,4.63053045269156,4.58575241726242,0.0447780354291405,"adduct","HCOOH",0.996099632288713,0.544749388454625,1,2.46848303337836
40,2883,-0.0103049999999998,2.0043,0.988416568140259,157.1234,157.1234,5.16249521955404,7.51476000039855,-2.35226478084451,"natural_abundance","18O",0.512698647936621,0.967310967633869,5,2.46842618371075
