"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","artifact","log10_inten","mean_inten","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c","annotation"
20291,486.2066,2.730537,NA,NA,0,TRUE,NA,3.83305400390622,6808.54016666667,3068.255,6867.919,15322.45,3013.275,7949.301,4630.041,"486.2066_2.730537"
16444,407.2654,2.730555,"C21H36N4O4","Sinapoylspermine",0,TRUE,NA,4.07260211185079,11819.5818333333,11679.77,15794.61,10423.15,7171.301,15655.48,10193.18,"C21H36N4O4_Sinapoylspermine_2.730555"
18717,485.20315,2.730633,"C23H34O11","15-Acetoxyscirpene-3,4-diol 4-O-a-D-glucopyranoside",0,TRUE,NA,4.68857500115605,48817.44,47640.23,49028.14,42522.83,49493.38,52264.36,51955.7,"C23H34O11_15-Acetoxyscirpene-3,4-diol 4-O-a-D-glucopyranoside_2.730633"
17872,605.2447,2.730928,NA,NA,0,TRUE,NA,4.00636024407055,10147.5276666667,15292.92,6632.257,6620.558,11475.57,13483.82,7380.041,"605.2447_2.730928"
18041,191.129,2.73108,NA,NA,0,TRUE,NA,4.03235796486791,10773.5285,12385.1,5790.926,9065.638,14438.75,13936.23,9024.527,"191.129_2.73108"
13431,188.101,2.731082,NA,NA,0,TRUE,NA,3.7821215231306,6055.10283333333,94,4684.688,1557,9084.408,11790.52,9120.001,"188.101_2.731082"
15730,532.0287,2.731298,NA,NA,1.66274046024972,TRUE,NA,4.00804786933714,10187.0366666667,24201.64,22219.02,9506.667,1664,2700.893,830,"532.0287_2.731298"
19598,351.2043,2.731445,NA,NA,0,TRUE,"-NH3(2.44730548825045) of 19769; HCOOH(2.20114581327381) of 1543",3.55999752225145,3630.75983333333,2656.778,2390,124,2553.228,10962.5,3098.053,"artifact_351.2043_2.731445"
6008,383.229,2.731482,NA,NA,0,TRUE,"H4O4Si(2.04945052278309) of 7435; C2H4O2(1.96611224739696) of 11353",4.63895539904098,43546.715,33199.11,36434.85,38241.88,42280.09,55299.97,55824.39,"artifact_383.229_2.731482"
13277,471.1873,2.731614,NA,NA,0,TRUE,"C2H4O2/2(1.85126398512379) of 7806",4.43764319110732,27393.2266666667,32991.24,37735.5,24705.16,27872.42,22857.57,18197.47,"artifact_471.1873_2.731614"
25810,416.1638,2.73163,NA,NA,3.24557521072274,FALSE,NA,4.46651242087207,29276.046,55765.39,67009.44,44689.64,2562.645,2871.971,2757.19,"416.1638_2.73163"
10967,535.239775,2.7321885,NA,NA,0,TRUE,"C2H4O2(2.82894956106611) of 13945",4.46972152774873,29493.175,36751.47,34778.45,29444.38,21444.19,35717.83,18822.73,"artifact_535.239775_2.7321885"
16643,629.282,2.732369,NA,NA,0,TRUE,NA,4.060294388556,11489.3216666667,12516.84,13546.73,8855.07,10947.23,12678.19,10391.87,"629.282_2.732369"
21213,671.2556,2.732412,NA,NA,0,TRUE,NA,3.89249796583077,7807.24783333333,5734.701,13099.95,10274.26,7500.887,7587.75,2645.939,"671.2556_2.732412"
1502,161.0818,2.732422,"C7H14O4","2-(1-Ethoxyethoxy)propanoic acid",0,TRUE,NA,5.43582799472675,272789.716666667,276846.2,230636.2,233350.5,270851.7,302985.9,322067.8,"C7H14O4_2-(1-Ethoxyethoxy)propanoic acid_2.732422"
