rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,id
13.39138,773.8435,4.397709371,1,5,0.97788821,Adduct,H3PO4,,9037
13.35341,465.9149,4.376900886,1,5,0.883002738,Adduct,H3PO4,,8981
13.36925,815.7758,4.340037149,1,5,0.91000621,Adduct,H3PO4,,10352
13.38191,659.8711,4.326008088,1,5,0.967103718,Adduct,H3PO4,,9567
13.36289,519.8835,4.249292145,1,5,0.910590808,Adduct,H3PO4,,9739
13.24858,282.9629,5.028923345,0,5,0.964000695,Adduct,H3PO4,,1584
13.90151,326.9889,4.99174312,0,5,0.981798656,Adduct,H3PO4,,4876
13.22622,380.94,4.556259154,0,5,0.940048936,Adduct,H3PO4,,3807
11.7099,211.0013,4.491060314,0,5,0.90183952,Adduct,H3PO4,,9444
13.36292,579.9059,4.266656363,0,5,0.836360088,Adduct,H3PO4,,9033
13.45171,310.9939,4.14317472,0,5,0.78176048,Adduct,H3PO4,,11361
13.25822,216.0279,4.954636498,1,4,0.929509606,Adduct,H3PO4,,5147
13.39771,196.0017,4.681074542,1,4,0.911137258,Adduct,H3PO4,,8097
13.99566,295.9943,4.625877171,1,4,0.881026295,Adduct,H3PO4,,7498
13.3819,366.924,4.742667116,0,4,0.98314985,Adduct,H3PO4,,6444
13.39453,464.9008,4.302667203,0,4,0.916070464,Adduct,H3PO4,,9445
13.32487,202.0124,5.004617264,1,3,0.973087255,Adduct,H3PO4,,4699
13.98936,281.9785,4.974548197,1,3,0.991890333,Adduct,H3PO4,,162
13.94545,282.9626,5.583849671,0,3,0.986245155,Adduct,H3PO4,,1583
13.95484,380.9395,4.944957006,0,3,0.97579553,Adduct,H3PO4,,3806
13.67602,266.9679,4.778154649,0,3,0.969823098,Adduct,H3PO4,,6530
13.91723,266.9676,4.778154649,0,3,0.988638588,Adduct,H3PO4,,6529
13.92662,264.9521,4.703712146,0,3,0.96253189,Adduct,H3PO4,,6737
14.15434,264.9521,4.703712146,0,3,0.963362744,Adduct,H3PO4,,6738
13.63599,268.9835,4.395107764,0,3,0.83885885,Adduct,H3PO4,,9904
11.88369,403.0542,4.199331975,0,6,0.923379076,Adduct,H4O4Si,,11662
14.09472,336.9999,3.927706853,0,6,0.873248816,Adduct,H4O4Si,,11876
11.64028,215.0328,6.733866927,0,6,0.96922958,Adduct,HCl,,214
11.61816,179.012,4.611509225,0,6,0.908243315,Adduct,HCl,,7891
14.75484,919.2841,3.871469448,0,33,0.872714806,Adduct,HCOH,,12853
15.43792,898.2795,4.51014903,0,32,0.982699203,Adduct,HCOH,,9708
15.42041,917.2574,4.185164713,0,32,0.990935078,Adduct,HCOH,,11960
14.56288,913.2324,4.610619662,0,30,0.929548507,Adduct,HCOH,,7833
16.23425,848.2717,3.610706314,0,30,0.9278854,Adduct,HCOH,,14127
15.06561,817.2536,4.729620715,0,29,0.993940467,Adduct,HCOH,,7283
15.06923,836.231,4.516251122,0,29,0.991471535,Adduct,HCOH,,9167
14.37924,832.2064,4.367532456,0,27,0.929906986,Adduct,HCOH,,9463
16.13225,767.2458,3.892909771,0,27,0.954927985,Adduct,HCOH,,13232
14.73077,736.2278,4.405118963,0,26,0.994925555,Adduct,HCOH,,10088
15.9757,686.2195,3.773345216,0,24,0.980296871,Adduct,HCOH,,13140
14.52196,655.2015,4.212848176,0,23,0.982983611,Adduct,HCOH,,11201
15.78341,605.1935,3.666828274,0,21,0.964408469,Adduct,HCOH,,13792
11.6751,295.1033,4.249430949,0,6,0.937197599,Adduct,HCOH,,10281
11.64028,225.0616,6.538652116,0,6,0.947263893,Adduct,HCOOH,,87
11.74793,207.0509,5.41550863,0,6,0.952237321,Adduct,HCOOH,,2219
11.50706,525.2698,4.093354512,0,6,0.942455127,Adduct,HCOOH,,9063
13.35975,230.0072,5.00544053,1,5,0.974904302,Adduct,HCOOH,,4632
13.5992,230.0072,5.00544053,1,5,0.974926061,Adduct,HCOOH,,4633
11.84783,445.0824,4.109577868,0,12,0.902546128,Adduct,HCOOK,,10838
13.36923,421.9066,4.447309426,1,5,0.874038604,Adduct,HCOOK,,9000
15.1316,847.222,3.577792756,0,29,0.809003671,Adduct,HCOONa,,13711
8.698851,232.0592,3.338739348,1,9,0.959643481,Adduct,HCOONa,,14375
11.72889,293.0491,4.529384015,0,6,0.969153302,Adduct,HCOONa,,8006
11.59287,422.1151,4.2369478,0,12,0.953490602,Adduct,HNO3,,8868
12.28883,315.0697,3.700615451,5,9,0.849370824,Adduct,HNO3,,13861
7.870823,320.0848,4.533326486,4,9,0.996212052,Adduct,HNO3,,9168
9.038283,281.0991,4.765095051,1,9,0.842935556,Adduct,HNO3,,7436
8.77819,281.0991,4.765095051,1,9,0.954695259,Adduct,HNO3,,7435
9.132333,296.0736,4.992815767,2,8,0.998003744,Adduct,HNO3,,5336
11.40096,268.0788,3.958039525,2,7,0.860091989,Adduct,HNO3,,11709
11.11776,250.0681,3.546567432,2,7,0.802350922,Adduct,HNO3,,12216
11.95238,258.0466,3.991994313,0,6,0.937134835,Adduct,HNO3,,12682
11.94483,256.0311,3.739357881,0,6,0.896049517,Adduct,HNO3,,13100
11.9552,238.0205,3.700286274,0,6,0.912887317,Adduct,HNO3,,13367
13.19719,246.0134,5.011953942,2,5,0.797754677,Adduct,HNO3,,4305
9.781646,209.0415,4.178922668,1,5,0.911094515,Adduct,HNO3,,9910
12.79676,229.9919,4.384259885,0,5,0.965520197,Adduct,HNO3,,10671
11.63081,217.0298,6.224919353,0,6,0.969177603,Adduct,K-H,,469
15.10384,855.2086,3.768869703,0,29,0.977721721,Adduct,K-H,,12915
13.35026,884.0295,4.349043265,7,23,0.957841073,Adduct,K-H,,9790
14.075,707.0159,4.602902434,6,20,0.940819978,Adduct,K-H,,8112
14.09789,649.1003,4.474779517,6,20,0.927856889,Adduct,K-H,,9359
14.08461,900.9736,4.178955424,6,20,0.901167617,Adduct,K-H,,10743
14.06855,804.9929,4.060640319,6,20,0.88765336,Adduct,K-H,,10851
14.07823,706.0228,3.993721384,6,18,0.890542578,Adduct,K-H,,14732
13.63931,644.03,5.166607333,3,17,0.918632425,Adduct,K-H,,3404
13.79769,603.0035,5.150904576,2,15,0.933919202,Adduct,K-H,,3568
13.7817,700.9704,4.5377098,2,15,0.809046448,Adduct,K-H,,7940
14.08823,491.0223,4.347727743,4,13,0.870121843,Adduct,K-H,,10604
11.68457,397.0751,4.397762118,0,12,0.911477258,Adduct,K-H,,9491
13.33124,326.0762,4.262316854,3,11,0.94489894,Adduct,K-H,,9308
13.82361,327.0602,5.213847001,2,11,0.890258921,Adduct,K-H,,3144
13.88253,439.0858,5.148122604,0,11,0.941097045,Adduct,K-H,,3380
14.03364,641.9211,4.89213121,5,10,0.936558133,Adduct,K-H,,5537
14.03038,543.9443,4.794756435,5,10,0.907367761,Adduct,K-H,,6337
14.27447,559.9391,4.421442167,5,10,0.922261276,Adduct,K-H,,10434
14.27106,657.9161,3.907874877,5,10,0.89914307,Adduct,K-H,,12359
13.38189,344.0325,5.581462965,3,10,0.987646316,Adduct,K-H,,1634
13.37241,381.9884,5.126281208,3,10,0.989705946,Adduct,K-H,,3590
13.38189,479.9652,4.968261557,3,10,0.978383164,Adduct,K-H,,4962
13.36923,406.9668,5.451878565,2,10,0.952219188,Adduct,K-H,,1720
13.35975,369.0108,5.407302225,2,10,0.957166882,Adduct,K-H,,2124
14.19703,617.9099,4.148209375,3,9,0.933129697,Adduct,K-H,,11656
14.12746,520.9169,4.970260621,2,9,0.944629826,Adduct,K-H,,5098
14.11446,618.8939,4.72345385,2,9,0.967305018,Adduct,K-H,,7541
13.21335,256.023,5.367390187,1,8,0.960695155,Adduct,K-H,,2102
14.48487,227.044,4.268985718,2,7,0.961776657,Adduct,K-H,,11454
13.15183,226.0124,5.208099074,1,7,0.981758249,Adduct,K-H,,3008
13.15516,323.9894,5.124108565,1,7,0.959601062,Adduct,K-H,,3463
13.15854,361.9453,4.312101191,1,7,0.935463204,Adduct,K-H,,10458
13.15524,263.9683,3.774056046,1,7,0.807753123,Adduct,K-H,,12287
14.23763,406.9551,3.831994555,0,7,0.886509394,Adduct,K-H,,13042
14.17348,376.9448,5.358190961,0,6,0.927394015,Adduct,K-H,,2328
14.05577,394.9551,5.272311601,0,6,0.937537188,Adduct,K-H,,2752
14.05258,492.9321,5.216897432,0,6,0.933239031,Adduct,K-H,,3231
14.15712,474.9215,5.043378662,0,6,0.926567773,Adduct,K-H,,4382
