rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,ID
9.537406,212.0905,4.603604298,1,6,0.922607494,Adduct,CH3COONa,,8551
9.289168,228.0491,3.843649611,1,4,0.841933224,Adduct,CH3COONa,,13489
8.783139,246.0747,4.076620727,1,9,0.944385861,Adduct,CH3COONa,,12623
8.66995,198.0384,3.938418204,1,3,0.813954414,Adduct,CH3COONa,,10069
2.290228,965.4344,5.789954861,0,18,0.986328783,Adduct,CH3COONa,,975
11.74816,221.0123,4.626282985,0,6,0.831215102,Adduct,CH3OH,,7457
7.429862,245.0247,4.859238032,0,6,0.940850501,Adduct,CH3OH,,4042
7.094022,245.0248,5.214853605,0,6,0.945735866,Adduct,CH3OH,,4041
13.36214,337.9454,5.512354115,1,5,0.992246595,Adduct,CH3OK,,1958
13.29324,269.0546,4.599568938,2,8,0.853373446,Adduct,CH3OK,,8691
11.01083,302.0005,4.118905072,1,5,0.839411907,Adduct,CH3OK,,11859
11.6069,401.0756,5.535256909,0,12,0.993048985,Adduct,Cl-,,1801
5.473211,153.0281,3.8311603,0,3,0.897579593,Adduct,Cl-,,12783
13.44091,159.0773,5.453752064,2,5,0.815356258,Adduct,CO,,2191
13.24998,438.1548,3.67953362,2,5,0.926308181,Adduct,CO,,13239
2.752639,344.2808,4.710011199,1,18,0.928390271,Adduct,CO,,7434
16.79883,279.0686,3.312967044,4,6,0.815430037,Adduct,CO2,,14431
13.36214,421.8704,4.636031822,1,5,0.991716969,Adduct,CO2,,8371
13.34908,506.9226,4.496333678,2,10,0.973852094,Adduct,CO2,,9236
13.34904,423.8684,4.09994728,1,5,0.951795039,Adduct,CO2,,11339
12.76767,172.0228,4.763578876,1,3,0.981750986,Adduct,CO2,,7757
13.17664,216.9445,4.363980786,0,4,0.851963199,Adduct,CrO3,,9245
12.86731,217.9762,4.32267659,1,4,0.966107928,Adduct,CrO3,,10027
12.83699,274.9867,4.141148317,0,7,0.973375454,Adduct,CrO3,,11383
12.82031,187.9656,5.27202171,1,3,0.987357854,Adduct,CrO3,,3317
12.79067,244.9394,4.955910567,0,5,0.967369982,Adduct,CrO3,,5549
12.78403,200.9498,4.795411601,0,4,0.975556343,Adduct,CrO3,,6603
11.94249,277.9972,4.044177316,0,6,0.917127893,Adduct,CrO3,,12417
11.12691,257.9713,4.446025488,1,6,0.979058171,Adduct,CrO3,,9451
11.06917,231.9554,4.788677724,1,3,0.821411397,Adduct,CrO3,,6680
9.527184,250.9865,3.692743528,0,5,0.987849924,Adduct,CrO3,,13526
2.315139,507.4418,5.604202015,0,32,0.92210258,Adduct,Dimer,,1170
16.65981,467.1656,3.682589232,8,12,0.950992893,Adduct,H2SO4,,14078
14.62211,439.0765,4.403747096,0,12,0.93470956,Adduct,H2SO4,,667
14.12718,280.0262,4.330223284,1,5,0.975992462,Adduct,H2SO4,,10497
14.01574,378.972,4.668621341,0,6,0.965043155,Adduct,H2SO4,,3796
13.85691,417.0562,4.067475718,2,11,0.936727999,Adduct,H2SO4,,10822
13.8243,373.0923,4.080268137,2,11,0.95466892,Adduct,H2SO4,,11256
13.81108,545.9712,4.5480319,5,10,0.911992974,Adduct,H2SO4,,7062
13.78268,251.9796,4.74331294,1,4,0.927220209,Adduct,H2SO4,,5526
13.77639,663.0148,4.559520819,2,15,0.924821322,Adduct,H2SO4,,7766
13.77338,326.9792,5.00595317,0,5,0.956242429,Adduct,H2SO4,,4407
13.73876,760.0687,5.202795041,7,21,0.992537663,Adduct,H2SO4,,3288
13.71686,858.0361,4.511994014,7,21,0.914905439,Adduct,H2SO4,,7151
13.66981,704.0413,4.95101103,3,17,0.98308159,Adduct,H2SO4,,5103
13.37886,338.9486,4.376727211,2,5,0.785347891,Adduct,H2SO4,,11025
13.36573,282.9821,5.352683917,2,5,0.846538276,Adduct,H2SO4,,2619
13.3592,341.9908,3.911343914,1,5,0.904266306,Adduct,H2SO4,,12473
12.82699,269.0449,3.863173854,2,7,0.778672287,Adduct,H2SO4,,9193
12.77415,242.9822,3.565845554,0,5,0.943329795,Adduct,H2SO4,,13084
11.79241,337.0455,4.599569987,0,6,0.853452484,Adduct,H2SO4,,7632
16.7625,375.0664,3.783169141,4,6,0.937356781,Adduct,H3PO4,,13569
16.54151,271.0815,5.121770585,4,6,0.95047301,Adduct,H3PO4,,4330
16.46268,375.0664,3.827796341,4,6,0.937503816,Adduct,H3PO4,,13568
14.06275,211.0013,4.317985898,0,5,0.958505746,Adduct,H3PO4,,10333
14.04609,356.9995,5.203521245,0,6,0.910425181,Adduct,H3PO4,,3430
14.03907,787.0226,3.97294578,6,20,0.9438919,Adduct,H3PO4,,12360
14.03232,519.0524,4.296235027,0,12,0.882431257,Adduct,H3PO4,,10709
14.00541,625.9478,4.359345818,5,10,0.894763957,Adduct,H3PO4,,9524
13.90955,439.0858,4.006538911,0,11,0.898915376,Adduct,H3PO4,,7869
13.86342,250.994,4.398862108,0,3,0.982808462,Adduct,H3PO4,,9856
13.57957,444.0327,4.466964817,5,10,0.945125319,Adduct,H3PO4,,9382
13.57276,258.0384,4.932388418,1,6,0.971585718,Adduct,H3PO4,,5895
